Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0883700657936029","0,0570119369562393","0,246146820319554",0,0,0,"7,35878432557636","0,0443976585623244","-7,21794741241778E-05","-0,000312157776135549","0,0406504538190799","0,000182097615307194","0,0308947497595885",0,0,0,0,0,0,package://alice_description/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://alice_description/meshes/base_link.STL,,chest-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck,"-0,00221787659777731","0,0300891753407176","0,00191402166814023",0,0,0,"0,0173766602225973","3,19420258140661E-06","-2,07104863288186E-09","-1,02408860256156E-08","1,38228519346356E-06","-9,71103603999423E-08","3,0628355541577E-06",0,0,0,0,0,0,package://alice_description/meshes/neck.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://alice_description/meshes/neck.STL,,head1-1,Origin_base_link_neck_joint,Axis_base_link_neck_joint,base_link_neck_joint,continuous,"0,0599933780654094","-0,231379445974355","0,283598399161393","1,48886382361949","0,0141770342251149","-1,53528046085658",base_link,"0,00457757579784101","0,998348928114777","0,0572578687333931",,,,,,,,,,,,
head,"-0,00203642682279573","0,0360101517913343","0,000137795216544494",0,0,0,"0,0745200706632678","9,25701424640244E-06","-1,73655076010235E-07","6,76742834332421E-07","4,68146967314949E-05","2,12872262024343E-08","4,96607483740688E-05",0,0,0,0,0,0,package://alice_description/meshes/head.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://alice_description/meshes/head.STL,,head2-1,Origin_neck_head_joint,Axis_neck_head_joint,neck_head_joint,continuous,"0,000201921501672531","0,0440381817067889","0,00252570254383764","0,0606487610542147","0,0117235285078409","-0,00414243012164736",neck,"0,997676704620568",0,"-0,068126302244019",,,,,,,,,,,,
r_arm,"0,00105554931607123","-0,00664056289771074","-0,0412447124086705",0,0,0,"0,0926564041629871","0,000342623814187767","-6,84668471199051E-10","-2,53019724070007E-14","0,000346653844887253","-2,41376911760168E-09","1,79288205152714E-05",0,0,0,0,0,0,package://alice_description/meshes/r_arm.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://alice_description/meshes/r_arm.STL,,rarm1-1,Origin_base_link_r_arm_joint,Axis_base_link_r_arm_joint,base_link_r_arm_joint,continuous,"0,0799685862265603","-0,00168186725333013","0,198316313851526","-0,0184950851490701","0,0185706695403267","-3,11709490213378",base_link,0,1,0,,,,,,,,,,,,
r_arm_haste,"-0,0104824477963583","2,9743056021575E-10","-0,051935907998337",0,0,0,"0,29579438568083","0,000366532786259131","1,15305824182691E-11","-1,35475763482832E-11","0,000366379151624259","-3,08401425633046E-12","1,4856097578156E-05",0,0,0,0,0,0,package://alice_description/meshes/r_arm_haste.STL,"0,650980392156863","0,619607843137255","0,588235294117647",1,0,0,0,0,0,0,package://alice_description/meshes/r_arm_haste.STL,,haste-12,Origin_r_arm_r_arm_haste_joint,Axis_r_arm_r_arm_haste_joint,r_arm_r_arm_haste_joint,continuous,"0,0400000000000018","-0,0034363166191851","0,0429999999999975","-0,189189688126403",0,"1,5707963267949",r_arm,1,0,0,,,,,,,,,,,,
r_arm_atuador,"0,0356691542371112","0,0693117788416294","-0,0199148887081458",0,0,0,"0,343667272850943","0,000769199482800856","0,000110911482039344","1,01020678127389E-06","0,000144242198970247","-1,41252791052751E-06","0,000845630568822347",0,0,0,0,0,0,package://alice_description/meshes/r_arm_atuador.STL,1,1,1,1,0,0,0,0,0,0,package://alice_description/meshes/r_arm_atuador.STL,,V0-F-10,Origin_r_arm_haste_r_arm_atuador_joint,Axis_r_arm_haste_r_arm_atuador_joint,r_arm_haste_r_arm_atuador_joint,fixed,"-0,03029444900945","0,0180339999999954","-0,289374618828932","1,5707963267949",0,"-1,5707963267949",r_arm_haste,"0,0276166123414648","0,0139993978868359","-0,999520554856971",0,0,0,0,,,,,,,,
r_arm_hand,"0,160572075000347","-0,0170201427972203","0,0533461538222454",0,0,0,"0,0599290865935393","3,37331908273315E-05","1,41608090935508E-10","-6,38120027925854E-05","0,000245305868179011","-4,35454705364248E-10","0,000214125690804956",0,0,0,0,0,0,package://alice_description/meshes/r_arm_hand.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://alice_description/meshes/r_arm_hand.STL,,rarm2-1,Origin_r_arm_r_arm_hand_joint,Axis_r_arm_r_arm_hand_joint,r_arm_r_arm_hand_joint,continuous,0,0,"-0,256000000000005",0,"0,671089501832756",0,r_arm,0,1,0,,,,,,,,,,,,
l_arm,"0,00096565974599637","0,0266329545235683","-0,0408213754286925",0,0,0,"0,0926564042645591","0,000342623814196758","-6,84668610746882E-10","-2,22834035049292E-14","0,000346653844888635","-2,41376903265457E-09","1,79288205215347E-05",0,0,0,0,0,0,package://alice_description/meshes/l_arm.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://alice_description/meshes/l_arm.STL,,larm1-1,Origin_base_link_l_arm_joint,Axis_base_link_l_arm_joint,base_link_l_arm_joint,continuous,"0,0908928306109217","-0,441353902504769","0,190182508084546","-0,018642224561814","0,127073423941442","-3,11911424694063",base_link,0,1,0,,,,,,,,,,,,
l_arm_haste,"0,0104886129888862","2,79866033126019E-10","-0,051935908055623",0,0,0,"0,295794384627824","0,000366532786078067","1,15269726442158E-11","-1,3640439450785E-11","0,000366379151399627","-2,70688349342407E-12","1,48560975706725E-05",0,0,0,0,0,0,package://alice_description/meshes/l_arm_haste.STL,"0,650980392156863","0,619607843137255","0,588235294117647",1,0,0,0,0,0,0,package://alice_description/meshes/l_arm_haste.STL,,haste-11,Origin_l_arm_l_arm_haste_joint,Axis_l_arm_l_arm_haste_joint,l_arm_l_arm_haste_joint,continuous,"0,0389999999997431","0,0236836876121145","0,0437610578488319","-0,192771974460667",0,"1,57079632679476",l_arm,1,0,0,,,,,,,,,,,,
l_arm_atuador,"0,0356691541524693","0,0693117788495879","-0,019914888653009",0,0,0,"0,343667268641515","0,000769199479142962","0,00011091148140267","1,01020589444688E-06","0,000144242197141407","-1,41252764486873E-06","0,000845630564699692",0,0,0,0,0,0,package://alice_description/meshes/l_arm_atuador.STL,1,1,1,1,0,0,0,0,0,0,package://alice_description/meshes/l_arm_atuador.STL,,V0-F-9,Origin_l_arm_haste_l_arm_atuador_joint,Axis_l_arm_haste_l_arm_atuador_joint,l_arm_haste_l_arm_atuador_joint,fixed,"-0,00932338822854123","0,0180340000000078","-0,28890676939373","1,5707963267949",0,"-1,5707963267949",l_arm_haste,0,0,0,0,0,0,0,,,,,,,,
